X,Day,Month,Tmax,Tmin,Year,JDay,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
1/16/14,16,1,15.46720467,5.15418956,2014,16,7.294379635,6.882323013,6.518838359,6.193672642,5.899511574,5.630953836,5.383897151,5.164018414,7.439420433,9.621417733,11.57909493,13.21414557,14.44446407,15.20826884,15.46720467,14.20106456,12.93492445,11.66878434,11.0191163,10.36944826,9.71978022,9.328715227,8.937650234,8.546585242
1/17/14,17,1,15.8231456,6.353365385,2014,17,8.155520249,7.808092044,7.501665028,7.227575301,6.979644564,6.753311759,6.545113654,6.369293063,8.469102896,10.46870125,12.26222337,13.75985614,14.88660344,15.58604173,15.8231456,14.65006868,13.47699176,12.30391484,11.84123168,11.37854853,10.91586538,10.48201376,10.04816214,9.614310524
1/18/14,18,1,16.85851648,7.552541209,2014,18,9.180458904,8.866200276,8.589072329,8.341220705,8.117046561,7.912417904,7.72419809,7.582781331,9.648572262,11.6096953,13.3682152,14.83631427,15.94067792,16.62615591,16.85851648,15.30082418,13.74313187,12.18543956,11.71073718,11.2360348,10.76133242,10.43865557,10.11597872,9.793301873
1/19/14,19,1,14.83825549,7.565247253,2014,19,9.470625024,9.102258693,8.777473136,8.487038758,8.224379218,7.984642795,7.764147532,7.608134192,9.21945741,10.74845326,12.11902279,13.26295193,14.12330657,14.65726627,14.83825549,13.64755037,12.45684524,11.26614011,10.99187271,10.71760531,10.44333791,9.575857291,8.708376669,7.840896047
1/20/14,20,1,13.46875,4.738667582,2014,20,6.973415426,6.540708479,6.159263814,5.818211836,5.509811101,5.228352364,4.969504166,4.814459834,6.744571093,8.575205141,10.21557305,11.58432189,12.61356945,13.25227082,13.46875,12.1319826,10.7952152,9.458447802,8.741185897,8.023923993,7.306662088,6.99844263,6.690223172,6.382003713
1/21/14,21,1,14.21737637,4.123282967,2014,21,6.073784255,5.695450239,5.362006723,5.063921916,4.794410635,4.548470914,4.322309163,4.237742581,6.46496705,8.576455452,10.46784459,12.04564988,13.23188596,13.96792135,14.21737637,12.67696886,11.13656136,9.596153846,8.827266484,8.058379121,7.289491758,6.909213071,6.528934384,6.148655697
1/22/14,22,1,13.48179945,3.551167582,2014,22,5.768377011,5.337702896,4.958193343,4.618972226,4.312300572,4.032475163,3.775171733,3.684911168,5.872552475,7.945772438,9.802377816,11.35085264,12.51486929,13.23705086,13.48179945,12.4966804,11.51156136,10.52644231,10.0658196,9.605196886,9.144574176,8.904863047,8.665151919,8.425440791
1/23/14,23,1,13.22561813,7.085508242,2014,23,8.185729663,7.971678514,7.783092872,7.614552637,7.462202896,7.323203842,7.195402949,7.186031316,8.535676686,9.814108322,10.95854355,11.91278008,12.6299561,13.07485161,13.22561813,12.29120879,11.35679945,10.42239011,9.742330586,9.062271062,8.382211538,8.079511064,7.77681059,7.474110115
1/24/14,24,1,13.74656593,5.496222527,2014,24,7.171409641,6.844881547,6.557265068,6.300265855,6.067987993,5.856090037,5.661282433,5.656327694,7.465632892,9.178601387,10.71143764,11.98915778,12.94925777,13.54477102,13.74656593,12.62076465,11.49496337,10.36916209,9.652930403,8.936698718,8.220467033,8.031380365,7.842293697,7.653207029
1/25/14,25,1,14.61572802,5.879120879,2014,25,7.464120361,7.154633646,6.882084465,6.638588427,6.41854387,6.217827695,6.03331683,6.074565112,7.986164101,9.795085826,11.41317748,12.76158576,13.7745996,14.40285243,14.61572802,13.74919872,12.88266941,12.01614011,11.51957418,11.02300824,10.52644231,10.25278061,9.97911892,9.705457227
1/26/14,26,1,17.41208791,8.282623626,2014,26,9.431795533,9.206959401,9.00900508,8.832185522,8.672419973,8.526706202,8.392771015,8.511424172,10.50485036,12.39036088,14.0763885,15.48105354,16.53614022,17.19040961,17.41208791,16.08207418,14.75206044,13.4220467,12.527587,11.63312729,10.73866758,10.36375264,9.988837698,9.613922756
1/27/14,27,1,16.70982143,7.049450549,2014,27,9.239007814,8.809971964,8.432300842,8.095000104,7.790266538,7.512361309,7.256940417,7.318941447,9.423674672,11.41353173,13.19223078,14.67370708,15.78627733,16.47610827,16.70982143,15.63461538,14.55940934,13.4842033,12.91483516,12.34546703,11.7760989,11.0314478,10.2867967,9.542145596
1/28/14,28,1,13.3228022,6.746909341,2014,28,8.797494495,8.394985586,8.040740069,7.724413137,7.438666342,7.178104868,6.938646492,6.947288053,8.377135332,9.728366349,10.93581742,11.94125868,12.69620222,13.16424052,13.3228022,11.99233059,10.66185897,9.331387363,8.633356227,7.935325092,7.237293956,6.94303495,6.648775943,6.354516936
1/29/14,29,1,14.28125,3.989010989,2014,29,6.06025793,5.652892334,5.294457372,4.974448917,4.685419791,4.421897772,4.179743631,4.333748587,6.566396248,8.675237706,10.55897051,12.12710567,13.30431454,14.03404741,14.28125,13.1720467,12.06284341,10.95364011,10.45707418,9.960508242,9.463942308,9.146860815,8.829779322,8.512697829
1/30/14,30,1,12.47596154,6.859203297,2014,30,8.195616335,7.932191866,7.700470514,7.493634533,7.306853445,7.136579639,6.980130816,7.067538301,8.282521688,9.429453543,10.45349534,11.30568427,11.94527436,12.34168469,12.47596154,11.02174908,9.56753663,8.113324176,7.703067766,7.292811355,6.882554945,6.712591801,6.542628657,6.372665513
1/31/14,31,1,11.26510989,4.409340659,2014,31,6.202702369,5.848591994,5.537164185,5.259227475,5.008272892,4.779522049,4.569363288,4.683842546,6.163396136,7.559405799,8.805379378,9.841970916,10.61980734,11.10184011,11.26510989,10.40361722,9.542124542,8.680631868,8.013163919,7.345695971,6.678228022,6.469648518,6.261069014,6.05248951
2/1/14,1,2,13.76510989,4.463598901,2014,32,5.843910005,5.570847495,5.330752919,5.116516309,4.923105486,4.746827841,4.584893385,4.862238798,6.865131061,8.754060058,10.43938576,11.84113016,12.89277274,13.54440721,13.76510989,12.69711538,11.62912088,10.56112637,9.720352564,8.879578755,8.038804945,7.887434716,7.736064487,7.584694258
2/2/14,2,2,13.25721154,5.932348901,2014,33,7.433324029,7.135782388,6.874229043,6.64089011,6.430266833,6.238326172,6.062022124,6.26791287,7.841465283,9.324770724,10.64770931,11.74774208,12.57286744,13.0840794,13.25721154,11.92708333,10.59695513,9.266826923,8.22378663,7.180746337,6.137706044,5.639832499,5.141958953,4.644085408
2/3/14,3,2,14.47870879,1.471153846,2014,34,4.146211862,3.614774523,3.147738976,2.731169849,2.355216454,2.012657547,1.698041482,2.110707346,4.897532502,7.523097269,9.863828284,11.80955794,13.2687095,14.17260726,14.47870879,13.09077381,11.70283883,10.31490385,9.570398352,8.825892857,8.081387363,7.689612549,7.297837735,6.906062922
2/4/14,4,2,13.93887363,4.744505495,2014,35,6.514288108,6.162045169,5.85255813,5.576561913,5.327510758,5.100608261,4.892234687,5.224943279,7.189916134,9.040262158,10.68924597,12.05957103,13.08700297,13.72338064,13.93887363,12.66975733,11.40064103,10.13152473,8.7933837,7.455242674,6.117101648,6.14510538,6.173109111,6.201112843
2/5/14,5,2,18.1510989,4.224931319,2014,36,6.229116574,5.829299195,5.478111054,5.1649952,4.882498253,4.625161721,4.388868042,4.997583749,7.966040871,10.7598793,13.24869214,15.31630998,16.86622333,17.82608739,18.1510989,16.95547161,15.75984432,14.56421703,13.54109432,12.51797161,11.4948489,11.13903566,10.78322242,10.42740918
2/6/14,6,2,21.32864011,8.346497253,2014,37,10.07159594,9.726633778,9.423716932,9.15370065,8.91013314,8.688292086,8.484616888,9.111249984,11.87077169,14.46653697,16.7779303,18.69754982,20.13619789,21.02702583,21.32864011,19.78228022,18.23592033,16.68956044,15.62580128,14.56204212,13.49828297,12.92203065,12.34577833,11.769526
2/7/14,7,2,18.95570055,8.641483516,2014,38,11.19327368,10.68197902,10.23311274,9.83307547,9.472278274,9.14370597,8.842071195,9.2793134,11.46647677,13.5228834,15.3533493,16.87314845,18.01193448,18.71699683,18.95570055,16.84958791,14.74347527,12.63736264,11.91334707,11.1893315,10.46531593,9.70190208,8.938488225,8.175074371
2/8/14,8,2,17.61092033,4.113324176,2014,39,7.411660517,6.749383324,6.16811994,5.650192986,5.183145971,4.757870383,4.367503926,4.994734353,7.848799912,10.53075712,12.91703529,14.89768702,16.38145406,17.29997204,17.61092033,16.05311355,14.49530678,12.9375,12.21668956,11.49587912,10.77506868,10.46429751,10.15352633,9.842755154
2/9/14,9,2,20.29395604,7.781593407,2014,40,9.531983978,9.179728459,8.87064846,8.595306316,8.347056166,8.121040975,7.913603081,8.641011913,11.27934685,13.75724881,15.96106081,17.78969787,19.15928356,20.00699735,20.29395604,18.81227106,17.33058608,15.8489011,14.98592033,14.12293956,13.25995879,12.95314761,12.64633644,12.33952526
2/10/14,10,2,17.87293956,10.13152473,2014,41,12.03271409,11.64917345,11.31274426,11.01310868,10.74300637,10.49713428,10.27150077,10.68589139,12.31426339,13.84290767,15.2019805,16.32938584,17.17361249,17.6960877,17.87293956,15.30277015,12.73260073,10.16243132,9.668956044,9.175480769,8.682005495,8.542612232,8.403218969,8.263825706
2/11/14,11,2,13.1978022,5.253090659,2014,42,8.124432444,7.543956017,7.034913269,6.581633747,6.173097531,5.801259574,5.460066778,5.851484098,7.517438477,9.080447113,10.46944876,11.62129326,12.48361266,13.01720209,13.1978022,12.22012363,11.24244505,10.26476648,9.57657967,8.888392857,8.200206044,7.957942549,7.715679055,7.47341556
2/12/14,12,2,15.4842033,5.76407967,2014,43,7.231152066,6.933892484,6.673286779,6.441279857,6.232210979,6.041949775,5.867389923,6.526890757,8.559726351,10.46599697,12.15940056,13.56327209,14.61405443,15.26417577,15.4842033,14.39010989,13.29601648,12.20192308,10.98489011,9.767857143,8.550824176,8.412488946,8.274153716,8.135818486
2/13/14,13,2,19.17857143,6.135989011,2014,44,7.997483256,7.619430419,7.288088795,6.993174415,6.727465205,6.485694478,6.263903102,7.20296461,9.922971765,12.47229778,14.7360419,16.61217482,18.01613723,18.88465105,19.17857143,17.83138736,16.4842033,15.13701923,14.14114011,13.14526099,12.14938187,11.60944259,11.06950331,10.52956403
