,Total
1/8/14 17:59,134953.18
1/8/14 18:59,154286.83
1/8/14 19:59,157103.02
1/8/14 20:59,151231.88
1/8/14 21:59,137495.79
1/8/14 22:59,126441.1
1/8/14 23:59,119086.69
1/9/14 00:59,113225.52
1/9/14 01:59,109996.97
1/9/14 02:59,103634.16
1/9/14 03:59,109413.53
1/9/14 04:59,111212.88
1/9/14 05:59,118867.98
1/9/14 06:59,131645.23
1/9/14 07:59,140869.1
1/9/14 08:59,143166.55
1/9/14 09:59,143241.47
1/9/14 10:59,141183.48
1/9/14 11:59,135359.14
1/9/14 12:59,121064.96
1/9/14 13:59,104468.58
1/9/14 14:59,98142.49
1/9/14 15:59,100495.75
1/9/14 16:59,107669.12
1/9/14 17:59,121113.02
1/9/14 18:59,140134.41
1/9/14 19:59,141666.25
1/9/14 20:59,135329.99
1/9/14 21:59,123355.53
1/9/14 22:59,112083.9
1/9/14 23:59,103451.53
1/10/14 00:59,97515.51
1/10/14 01:59,100633.37
1/10/14 02:59,102304.06
1/10/14 03:59,103020.74
1/10/14 04:59,104402.98
1/10/14 05:59,110219.27
1/10/14 06:59,106766.34
1/10/14 07:59,125238.16
1/10/14 08:59,136073.23
1/10/14 09:59,123602.86
1/10/14 10:59,148077.45
1/10/14 11:59,146852.41
1/10/14 12:59,134732.25
1/10/14 13:59,118541.14
1/10/14 14:59,105719.26
1/10/14 15:59,104235.97
1/10/14 16:59,114410.17
1/10/14 17:59,127304.82
1/10/14 18:59,143174.23
1/10/14 19:59,142750.75
1/10/14 20:59,134837.8
1/10/14 21:59,125372.03
1/10/14 22:59,117116.96
1/10/14 23:59,109400.28
1/11/14 00:59,102479.64
1/11/14 01:59,96543.39
1/11/14 02:59,99680.33
1/11/14 03:59,98862.24
1/11/14 04:59,99391.93
1/11/14 05:59,104019.4
1/11/14 06:59,110634.14
1/11/14 07:59,121360.12
1/11/14 08:59,129768.8
1/11/14 09:59,135099.13
1/11/14 10:59,136504.82
1/11/14 11:59,133960.03
1/11/14 12:59,126575.68
1/11/14 13:59,119100.72
1/11/14 14:59,115394.35
1/11/14 15:59,116666.66
1/11/14 16:59,120215.87
1/11/14 17:59,132736.52
1/11/14 18:59,149353.03
1/11/14 19:59,146487.99
1/11/14 20:59,135327.09
1/11/14 21:59,120737.41
1/11/14 22:59,114239.01
1/11/14 23:59,104569.52
1/12/14 00:59,99208.22
1/12/14 01:59,98089.73
1/12/14 02:59,98247.17
1/12/14 03:59,99079.86
1/12/14 04:59,100794.32
1/12/14 05:59,106518.12
1/12/14 06:59,118052.04
1/12/14 07:59,128516.71
1/12/14 08:59,133955.52
1/12/14 09:59,140341.11
1/12/14 10:59,143579.76
1/12/14 11:59,143056.51
1/12/14 12:59,135509
1/12/14 13:59,129250.62
1/12/14 14:59,124105.97
1/12/14 15:59,125478.37
1/12/14 16:59,130810.61
1/12/14 17:59,144928.59
1/12/14 18:59,155714.84
1/12/14 19:59,150154.53
1/12/14 20:59,143579.84
1/12/14 21:59,131427.05
1/12/14 22:59,120696.62
1/12/14 23:59,112057.22
1/13/14 00:59,106384.7
1/13/14 01:59,103490.04
1/13/14 02:59,102456.59
1/13/14 03:59,102449.38
1/13/14 04:59,104286.6
1/13/14 05:59,111905.5
1/13/14 06:59,125317.5
1/13/14 07:59,135786.25
1/13/14 08:59,138546.39
1/13/14 09:59,136996.84
1/13/14 10:59,137975.37
1/13/14 11:59,133959.45
1/13/14 12:59,125073.29
1/13/14 13:59,118459.51
1/13/14 14:59,118725.25
1/13/14 15:59,125433.1
1/13/14 16:59,136304.59
1/13/14 17:59,148203.28
1/13/14 18:59,157160.26
1/13/14 19:59,148431.6
1/13/14 20:59,134663.51
1/13/14 21:59,124290.71
1/13/14 22:59,115585.45
1/13/14 23:59,109000.45
1/14/14 00:59,101876.35
1/14/14 01:59,100166.43
1/14/14 02:59,100793.04
1/14/14 03:59,102083.98
1/14/14 04:59,102766.04
1/14/14 05:59,107634.34
1/14/14 06:59,121377.11
1/14/14 07:59,129084.97
1/14/14 08:59,138437.34
1/14/14 09:59,150753.08
1/14/14 10:59,152611.74
1/14/14 11:59,152206.63
1/14/14 12:59,145241.63
1/14/14 13:59,137060.81
1/14/14 14:59,133122.71
1/14/14 15:59,136057.73
1/14/14 16:59,143304.37
1/14/14 17:59,154952.08
1/14/14 18:59,167243.77
1/14/14 19:59,164213.8
1/14/14 20:59,144282.24
1/14/14 21:59,130747.34
1/14/14 22:59,117982.15
1/14/14 23:59,108086.46
1/15/14 00:59,100941.83
1/15/14 01:59,95598.34
1/15/14 02:59,102776.78
1/15/14 03:59,106976.86
1/15/14 04:59,104090.7
1/15/14 05:59,112648.58
1/15/14 06:59,131150.46
1/15/14 07:59,141162.53
1/15/14 08:59,143875.4
1/15/14 09:59,149409.65
1/15/14 10:59,152635.18
1/15/14 11:59,150079.67
1/15/14 12:59,138510.46
1/15/14 13:59,130009.58
1/15/14 14:59,125587.1
1/15/14 15:59,127151.72
1/15/14 16:59,133138.84
1/15/14 17:59,145490.54
1/15/14 18:59,161685.52
1/15/14 19:59,161438.66
1/15/14 20:59,152559.41
1/15/14 21:59,141642
1/15/14 22:59,130116.91
1/15/14 23:59,122089.78
1/16/14 00:59,116113.23
1/16/14 01:59,112261.05
1/16/14 02:59,111077.1
1/16/14 03:59,112500.82
1/16/14 04:59,114978.04
1/16/14 05:59,122282.28
1/16/14 06:59,135921.4
1/16/14 07:59,145736.85
1/16/14 08:59,149199.2
1/16/14 09:59,149801.51
1/16/14 10:59,147644.15
1/16/14 11:59,141137.86
1/16/14 12:59,127225.37
1/16/14 13:59,117670.59
1/16/14 14:59,113792.63
1/16/14 15:59,111930.42
1/16/14 16:59,121345.8
1/16/14 17:59,135846.04
1/16/14 18:59,148430.47
1/16/14 19:59,148965.2
1/16/14 20:59,140492.61
1/16/14 21:59,127668.25
1/16/14 22:59,119859
1/16/14 23:59,110950.36
1/17/14 00:59,103904.7
1/17/14 01:59,101175.7
1/17/14 02:59,100513.5
1/17/14 03:59,101321.28
1/17/14 04:59,103276.27
1/17/14 05:59,108006.04
1/17/14 06:59,120448.93
1/17/14 07:59,127772.28
1/17/14 08:59,136447.5
1/17/14 09:59,145780.05
1/17/14 10:59,151765.21
1/17/14 11:59,151127.95
1/17/14 12:59,141584.35
1/17/14 13:59,128412.98
1/17/14 14:59,119751.16
1/17/14 15:59,119776.78
1/17/14 16:59,125449.84
1/17/14 17:59,137419.86
1/17/14 18:59,151526.65
1/17/14 19:59,149121.48
1/17/14 20:59,138538.51
1/17/14 21:59,126376.68
1/17/14 22:59,116663.25
1/17/14 23:59,108517.19
1/18/14 00:59,103290.97
1/18/14 01:59,97946.15
1/18/14 02:59,98146.12
1/18/14 03:59,98469.49
1/18/14 04:59,101198.51
1/18/14 05:59,106453.28
1/18/14 06:59,114106.2
1/18/14 07:59,125910.47
1/18/14 08:59,134618.92
1/18/14 09:59,141963.25
1/18/14 10:59,145204.19
1/18/14 11:59,143541.42
1/18/14 12:59,133679.41
1/18/14 13:59,122168.32
1/18/14 14:59,116601.11
1/18/14 15:59,118072.52
1/18/14 16:59,124351.27
1/18/14 17:59,137858.88
1/18/14 18:59,151463.72
1/18/14 19:59,149907.08
1/18/14 20:59,140429.89
1/18/14 21:59,128296.83
1/18/14 22:59,116730.62
1/18/14 23:59,108482.42
1/19/14 00:59,103519.99
1/19/14 01:59,99082.03
1/19/14 02:59,99385.35
1/19/14 03:59,100538.42
1/19/14 04:59,94001.12
1/19/14 05:59,101719.51
1/19/14 06:59,112402.82
1/19/14 07:59,127501.28
1/19/14 08:59,128966.46
1/19/14 09:59,130909.44
1/19/14 10:59,130325.2
1/19/14 11:59,128264.4
1/19/14 12:59,122492.15
1/19/14 13:59,130755.97
1/19/14 14:59,130570.16
1/19/14 15:59,121123.66
1/19/14 16:59,143108.06
1/19/14 17:59,158461.31
1/19/14 18:59,171295.02
1/19/14 19:59,167077.47
1/19/14 20:59,158437.94
1/19/14 21:59,146039.38
1/19/14 22:59,132484.78
1/19/14 23:59,122701.42
1/20/14 00:59,116100.98
1/20/14 01:59,112914.9
1/20/14 02:59,112002.61
1/20/14 03:59,108727.42
1/20/14 04:59,107290.23
1/20/14 05:59,116083.36
1/20/14 06:59,131293.94
