X,Tmax,Tmin,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
1/28/14,14.71428571,8.571428571,10.33156136,9.985902267,9.681707098,9.410085162,9.164730401,8.941007462,8.735409118,8.763648046,10.09848672,11.35976104,12.48671047,13.42504547,14.12956276,14.56632299,14.71428571,13.42857143,12.14285714,10.85714286,10.47619048,10.0952381,9.714285714,9.295315309,8.876344904,8.457374499
1/29/14,14,6.142857143,8.038404094,7.665451871,7.337311776,7.044360939,6.779777728,6.538550021,6.316886885,6.411983459,8.115389899,9.724135618,11.16101783,12.35708137,13.25492784,13.8114701,14,13.04761905,12.0952381,11.14285714,10.66666667,10.19047619,9.714285714,9.247825433,8.781365151,8.31490487
1/30/14,13.42857143,6.285714286,7.848444588,7.540385073,7.269403086,7.02752463,6.809100129,6.609980483,6.427028663,6.551807712,8.096714215,9.555049834,10.85710203,11.94062905,12.75383526,13.25784711,13.42857143,12.14285714,10.85714286,9.571428571,8.904761905,8.238095238,7.571428571,7.246203378,6.920978185,6.595752992
1/31/14,13.28571429,4.285714286,6.270527798,5.878499218,5.533735798,5.226056909,4.948253708,4.695034381,4.462399424,4.648336192,6.590255533,8.422445996,10.05766931,11.41806562,12.43886077,13.07145041,13.28571429,12.28571429,11.28571429,10.28571429,9.380952381,8.476190476,7.571428571,7.417598654,7.263768737,7.10993882
2/1/14,15,5.428571429,6.956108903,6.653798935,6.388001026,6.150838377,5.936736734,5.741606096,5.562356463,5.843637074,7.903822097,9.846621502,11.5799005,13.02146053,14.10293745,14.77304358,15,14.33333333,13.66666667,13,12.23809524,11.47619048,10.71428571,10.32513604,9.935986373,9.546836702
2/2/14,14,7.857142857,9.157687032,8.899780065,8.673077814,8.470837719,8.288291039,8.12194047,7.96914482,8.142615236,9.461550596,10.70470729,11.81336912,12.73517225,13.42657849,13.85493167,14,12.9047619,11.80952381,10.71428571,9.619047619,8.523809524,7.428571429,6.877795338,6.327019247,5.776243156
2/3/14,15.57142857,2.571428571,5.225467065,4.698070838,4.234600983,3.82122225,3.44815545,3.108232181,2.79604095,3.216369473,6.000588712,8.623507844,10.96175055,12.90533107,14.36282768,15.26568295,15.57142857,14.38095238,13.19047619,12,11.23809524,10.47619048,9.714285714,9.400841919,9.087398124,8.773954329
2/4/14,15.85714286,7,8.460510534,8.169679695,7.914165678,7.686312488,7.480711958,7.293401712,7.121391719,7.467469871,9.359571915,11.14114552,12.72873719,14.04798003,15.03707731,15.64969715,15.85714286,14.61904762,13.38095238,12.14285714,10.76190476,9.380952381,8,8.120682324,8.241364648,8.362046972
2/5/14,19.42857143,6.571428571,8.482729297,8.101325909,7.766324425,7.467649044,7.198186717,6.952728563,6.727345541,7.291098931,10.03059412,12.60873289,14.90525526,16.81303753,18.24308918,19.12870396,19.42857143,18.42857143,17.42857143,16.42857143,15.61904762,14.80952381,14,13.65884418,13.31768835,12.97653253
2/6/14,23.28571429,11.28571429,12.63537671,12.36546986,12.12846232,11.9171982,11.72662897,11.55305948,11.39370364,11.99605979,14.54621911,16.94493344,19.08078651,20.85457153,22.18389915,23.00702433,23.28571429,21.9047619,20.52380952,19.14285714,17.85714286,16.57142857,15.28571429,14.68412378,14.08253328,13.48094277
2/7/14,17.85714286,10.14285714,12.87935227,12.3309114,11.84944911,11.42037196,11.03339086,10.68097885,10.3574631,10.62453946,12.25957461,13.79671259,15.16486149,16.30074507,17.15182927,17.67875183,17.85714286,16.38095238,14.9047619,13.42857143,12.85714286,12.28571429,11.71428571,10.79588802,9.877490322,8.959092625
2/8/14,18,5.142857143,8.040694929,7.458634043,6.947795903,6.492635385,6.082199622,5.708480234,5.365444159,5.987662556,8.705396508,11.25907636,13.53110577,15.41685831,16.82949553,17.70396581,18,16.76190476,15.52380952,14.28571429,14.19047619,14.0952381,14,13.11633682,12.23267365,11.34901047
2/9/14,21.28571429,8.857142857,10.4653473,10.14159911,9.85754381,9.604502757,9.376365187,9.168665478,8.97804094,9.714640554,12.33463905,14.79519728,16.98350073,18.79921753,20.1590986,21.00079453,21.28571429,20.04761905,18.80952381,17.57142857,16.66666667,15.76190476,14.85714286,14.37771104,13.89827923,13.41884741
2/10/14,16.71428571,11,12.93941559,12.54810561,12.20486758,11.89917211,11.62361031,11.37277082,11.14258058,11.41314022,12.61442471,13.74201424,14.74443683,15.57593407,16.19854995,16.5838634,16.71428571,14.57142857,12.42857143,10.28571429,9.904761905,9.523809524,9.142857143,8.95454868,8.766240216,8.577931753
2/11/14,14.14285714,5.857142857,8.38962329,7.877479365,7.42837869,7.028487796,6.668079553,6.340053277,6.039066753,6.483723892,8.220745198,9.85035063,11.29848141,12.49932604,13.39831113,13.95458155,14.14285714,13.23809524,12.33333333,11.42857143,10.85714286,10.28571429,9.714285714,9.377331994,9.040378274,8.703424554
