,OUARGLA,Figuier,Foues,Boumerdes,BIR SLAM,BEJAIA,MEDEA 1,MEDEA 2,BOUIRA 1,BOUIRA 2,BLIDA 1,BLIDA 2,BLIDA 3,BLIDA 4,"B,Ezzouar",Beaulieu,Baraki,Benzerga,Ain Taya,Nador,Tipaza,Cherchell,Hadjout,Sidi Ammar Tipaza,Taref,Naama,Total
0.42,5976,1350,195,2517,9574,5529,9562,12837,6778,3634,6329,7593,8663,3744,16243,12988,7089,13200,4891,417,2276,2232,3378.7,220,1100,1849,150165.32
0.46,4422,1348.8,182,2544,10447,5608,8967,13295,6667,3634,6689,7716,9030,3818,16982,13329,7179,13531,5155,334,2213,2785,3662.5,234,1034,1902,152708.68
0.5,3461,1350.3,177,2552,10449,5779,8643,13302,6371,3634,6368,7789,9435,3652,17516,13574,7337,13716,4964,414,2162,3160,3604.3,238,1013,2020,152681.90
0.54,3071,1361.7,171,2239,9414,5713,8532,12779,5997,3634,5980,7769,9848,3151,16930,13235,7032,13233,4644,454,1917,2890,3186.5,233,881,2243,146538.13
0.58,2959,1371.9,182,1845,8430,5743,8546,12243,5540,3634,5875,7707,9368,3133,15896,12552,6656,12217,4442,486,1723,2232,2977.6,217,861,2475,139310.51
0.63,2942,1376,194,1653,8037,5581,8537,12111,5705,3634,5810,7608,8896,3148,15060,11931,6443,11452,4489,350,1726,2827,2764.7,230,963,2639,136106.96
0.67,2982,1378.4,196,1744,8367,5511,8526,12296,6529,3634,6023,7593,8532,3425,15053,11926,6543,11860,4699,430,1880,2205,2756.6,218,1085,2627,138019.96
0.71,3203,1376.7,204,1971,9079,5599,8782,12692,7340,3634,6385,7713,8815,3496,15695,12231,6806,12567,5218,347,2174,2757,2969.9,227,1272,2444,144998.16
0.75,4152,1369.4,205,2349,10514,5721,9307,13525,7662,3634,6998,7852,9132,3807,16968,13051,7426,13639,6215,399,2423,3015,3216.7,233,1420,2244,156476.56
0.79,6059,1379.1,206,2692,11437,6075,10264,14533,7098,3634,6867,7889,10144,3591,18909,14184,7876,13947,5731,419,2228,3368,3502.9,234,1296,2009,165573.52
0.83,8070,1373.8,202,2565,10905,6168,10578,14453,6292,3634,6359,7887,11061,3239,18178,13784,7501,13910,5157,474,2077,3430,3622.1,234,1192,1952,164299.43
0.88,8955,1380.2,209,2433,10144,6145,10898,13420,5554,3634,5776,7867,10555,3045,16881,12998,7199,13369,4846,573,1934,3264,3147.5,227,1106,1994,157554.40
0.92,8793,1380.8,209,2191,8952,6083,11154,12443,4612,3634,5190,7756,9521,2708,15510,12135,6730,12329,4482,521,1789,2985,2749.7,222,978,2035,147092.77
0.96,8632,1375.8,215,1871,7479,5745,11401,11448,3924,3634,4762,7529,8362,2525,13852,11095,6258,11102,4113,484,1547,2708,2368.1,211,824,2385,135850.02
0,8230,1381.2,231,1563,5979,5493,11259,10413,3637,3634,4396,7324,7295,2070,12449,10162,5839,10022,3791,442,1401,2306,2068.9,208,626,2642,124861.98
0.04,7122,1372.1,238,1363,5249,5331,11108,9832,3507,3634,4253,7273,6333,1873,11275,9590,5620,9299,3625,387,1307,2117,1944.5,205,646,2379,116882.46
0.08,6253,1377.1,237,1268,5023,5275,10903,9601,3486,3634,4166,7217,5735,1855,10696,9031,5344,8983,3566,342,1257,2022,1908,202,627,2178,112185.29
0.13,6239,1367.5,237,1185,4967,5218,10838,9467,3485,3634,4129,7206,5353,1852,10323,8860,5331,8872,3509,331,1259,2023,1895.6,201,644,2022,110448.73
0.17,6589,1366.3,237,1180,4914,5163,10982,9413,3505,3634,4181,7295,5133,1762,10265,8801,5388,8813,3451,318,1262,1974,1888.7,205,645,1861,110225.90
0.21,6828,1362.8,237,1187,4969,5106,11239,9471,3728,3634,4236,7276,5081,1897,10459,9005,5379,8914,3552,323,1314,2077,1964.9,202,656,1799,111898.45
0.25,8713,1357.3,238,1224,5079,5217,11891,9631,4431,3634,4606,7252,5078,2220,10751,9201,5522,9171,3707,338,1415,2208,2122.7,213,708,1758,117687.35
0.29,10199,1355.8,237,1387,5735,5079,11960,10156,5353,3634,5041,7216,5181,2517,11192,9505,5775,9742,3919,348,1564,2406,2466.3,217,829,1755,124770.21
0.33,9369,1352.5,232,1534,6622,5173,11426,10796,5925,3634,5618,7157,5869,3043,12091,10175,6080,10464,4324,367,1762,3001,2920.7,236,1078,1759,132008.94
0.38,8095,1357.2,225,1879,8219,5298,10657,11907,6453,3634,6196,7236,6666,3207,13328,11113,6495,11579,4525,445,1949,3179,2893.8,238,1105,1764,139644.81
0.42,6108,1352.6,216,2089,9727,5569,9910,12754,6929,3634,6528,7477,7935,3214,14698,11863,6852,12516,4663,468,1983,3151,2915.7,239,1163,1775,145728.97
0.46,4258,1351,210,2136,10376,5659,9319,13037,6938,3634,6668,7680,8745,3144,15617,12364,7039,12721,4712,430,1928,2977,2936.8,233,1206,1861,147180.16
0.5,3325,1361.1,214,2134,9756,5792,8950,13066,6356,3634,5773,7763,9354,2971,16157,12564,6719,12904,4418,417,1826,2729,2794.9,227,1116,2032,144353.01
0.54,3015,1371.5,207,1617,7788,5582,8961,11813,5831,605,4752,7450,9518,2786,15039,11737,6104,11776,3742,399,1679,2325,2514.1,215,918,2276,130023.13
0.58,2933,1365.3,207,1100,5786,5376,8911,10718,5751,2422,4116,7098,7601,2521,12676,10137,5379,9688,3317,381,1582,2305,2371.5,213,849,2389,117194.77
0.63,2916,1367.7,212,804,5237,5109,8964,9958,6107,3634,4263,7100,5839,2589,10916,8942,4907,8707,1070,344,1585,1583,2315.9,200,856,2541,108066.79
0.67,2943,1368.7,212,856,5308,5108,9072,9939,7099,3634,4408,7102,4980,2767,10717,8842,5019,8809,2136,240,1738,1529,2328.2,201,1034,2578,109967.09
0.71,3224,1369.8,213,1069,6156,4993,9232,10036,7849,724,4326,7127,5080,3127,11016,9215,5236,9449,3423,233,1994,2181,2632.4,217,1146,2422,113691.42
0.75,4791,1374.8,225,1438,7945,5135,9863,10629,8241,3634,6758,7162,5408,3781,12225,10235,5707,10684,3900,315,2543,2299,2857.5,220,1311,2240,130922.02
0.79,8459,1380.1,222,2015,9700,5531,10888,12221,7657,3634,7391,7304,6548,3853,14236,11609,6649,12361,2934,324,2490,2531,3329.6,220,1217,2083,146785.98
0.83,8717,1375.2,222,1994,9384,5610,11014,12387,6643,3634,7385,7316,8423,3592,14102,11521,6420,11886,1659,367,2347,2289,3493.3,212,1076,2139,145207.07
0.88,8126,1380.2,215,1834,8520,5596,11106,11516,5699,3634,6680,7230,8050,3203,13127,10978,6176,11134,4517,376,2049,2819,3046.5,220,991,2142,140365.27
0.92,7712,1388.8,220,1628,7580,5510,11442,10664,4911,3634,5959,7244,7105,2779,12193,10363,5976,10258,4314,455,1755,2293,2642,208,856,2332,131423.70
0.96,7756,1383.5,214,1381,6128,5481,11594,9919,4383,3634,5322,7238,6358,2351,11250,9741,5619,9378,4054,378,1511,1513,2307,194,704,2796,122585.84
0,7205,1382.8,236,1159,4964,5279,11352,9131,4129,3634,4690,7196,5444,1878,10305,9067,5253,8540,3790,264,1313,1374,2089.4,191,540,2825,113232.09
0.04,5941,1372.3,243,988,4353,5118,11165,8702,3986,3634,4139,7195,4744,1754,9541,8540,4935,8069,3468,242,1263,1679,1962.7,197,581,2532,106346.26
0.08,5177,1367.6,245,903,4022,5127,10855,8391,3969,3634,3920,7205,4367,1774,9117,8372,4928,7804,3254,283,1215,1862,1936.1,199,572,2311,102810.02
0.13,5356,1365.9,240,879,4082,5011,10630,8298,3934,3634,3866,7256,4036,1516,8905,8377,4874,7751,0,301,1216,1893,1936.9,200,578,2095,98230.47
0.17,5887,1358.7,235,880,4190,4894,10912,8322,3973,3634,3807,7330,4039,1529,8847,8372,4978,7855,3146,309,1219,1847,1952.2,197,585,1943,102242.06
0.21,6387,1357.6,242,915,4240,4943,11350,8413,4093,3634,3802,7285,3974,1758,8895,8422,5027,8007,3147,297,1321,1929,1991.1,205,602,1911,104147.17
0.25,8215,1346.5,237,956,4679,4761,12145,8638,4642,3634,3953,7278,4024,2358,9291,8671,5229,8370,3144,321,1570,1914,2198.5,210,654,1878,110317.44
0.29,9314,1344.4,238,1112,5235,4862,12408,9437,5561,3634,4319,7224,4499,2898,10239,9397,5790,9203,3137,320,1919,2118,2612.5,210,784,1878,119695.04
0.33,8344,1341.2,232,1299,6122,4902,12029,10310,6503,3634,4857,7187,5468,2939,11437,10227,5894,10084,3184,325,1814,2586,3109.9,223,1036,1885,126973.51
0.38,7100,1346.8,223,1635,7551,5032,11428,11236,7474,3634,5925,7185,6421,2961,12879,11146,6409,11052,3445,385,1904,3018,3130.8,230,1056,1890,135695.28
0.42,5369,1345.8,208,1862,8842,5208,10643,11724,8159,3634,6675,7219,7530,2928,14078,11750,6507,11755,3701,414,1843,3094,3108.5,226,974,1946,140745.59
0.46,3848,1336.8,206,1988,9310,5239,9998,12222,8636,3634,7101,7309,8034,2840,14815,12091,6592,12160,4006,415,1786,2904,3197.7,222,925,2296,143110.98
0.5,3119,1335.6,200,2114,9052,5418,9557,12735,7998,3634,7348,7551,8547,2477,15605,12488,6634,12754,4261,407,1583,2603,3036.4,216,805,2523,144000.70
0.54,2890,1346.5,200,1782,7177,5303,9367,12238,6848,3634,6680,7469,9136,2372,14814,11872,6379,11934,4363,371,1438,2192,2778,210,625,2557,135974.55
0.58,2826,1352.4,205,1430,5788,5099,9244,11858,6321,3634,5733,7371,8264,2159,13671,11140,6010,11019,4568,380,1342,1869,2708.7,207,531,2594,127323.67
0.63,2798,1353.3,206,1329,5689,5104,9187,11717,6282,3634,5345,7330,7729,2164,12982,10677,5955,10459,53,333,1394,1808,2556.8,206,584,2655,119529.20
0.67,2805,1356.1,212,1452,6021,5098,9174,11510,6551,3634,5415,7314,7521,2419,13168,10822,6104,10916,4376,297,1596,1756,2605.8,205,758,2616,125703.17
0.71,3062,1371.6,221,1645,6761,5041,9372,11323,7845,3634,5694,7304,7493,2883,13350,10969,6212,11273,4170,262,1906,1848,2761.9,210,962,2397,129971.78
0.75,4489,1373.3,226,1975,8198,5114,9855,11813,8748,1832,6020,7365,7450,3578,14685,11846,6662,12413,4017,285,2353,2038,2972.7,214,1222,2285,139029.21
0.79,8080,1380.9,222,2579,9895,5339,10697,13150,8107,1625,7008,7762,8283,3576,17331,13292,7354,13765,4055,288,2353,2747,3397.5,223,1115,2240,155863.66
0.83,8427,1372.4,222,2505,9515,5530,10891,13495,7059,3634,7141,7823,9944,3253,17025,13166,6925,13349,4151,378,2253,3170,3719,226,1022,2279,158474.24
0.88,7883,1374.6,224,2151,8472,5398,11032,12622,6132,3634,6543,7645,9383,2925,15332,12055,6514,12165,4676,502,1707,2935,3329.6,221,922,2337,148114.09
0.92,7542,1389.6,225,1822,7324,5375,11234,11552,5218,3634,5962,7463,8021,2368,13993,11119,6208,10954,5628,473,1508,2659,2937.7,215,744,2581,138149.71
0.96,7607,1391.5,230,1432,5889,5242,11670,10284,4631,3634,5218,7449,6948,2114,12244,9932,5694,9615,5189,447,1260,2309,2573.5,208,610,2914,126734.48
0,7135,1396.2,231,1145,4779,5034,11607,9578,4319,3634,4634,7440,5665,1868,10783,9055,5267,8572,4829,388,1115,1974,2275.1,201,600,2672,116196.45
0.04,5851,1397.3,227,1034,4225,4928,11289,9298,4127,3634,4027,7174,4913,1614,10004,8624,5042,8145,4358,343,1067,1686,2132,197,524,2404,108262.36
0.08,5062,1393,237,1015,4221,4812,11014,9147,4094,3634,3575,7230,4656,1641,9930,8646,5058,8059,3937,296,1071,1665,2071,198,513,2198,105373.11
0.13,5175,1391.5,239,983,4384,4693,11023,9305,4094,3634,3564,7279,4630,1717,9724,8493,5017,8007,3510,287,1073,1733,2051,197,522,2044,104769.69
0.17,5753,1386.8,240,1009,4561,4641,11203,9309,4108,3634,3565,7356,4571,1694,9674,8442,5068,8058,3412,290,1073,1734,2057.6,198,526,1944,105507.35
0.21,6339,1384,234,1057,4777,4632,11352,9524,4320,3634,3611,7374,4511,1727,9716,8596,5066,8260,2118,285,1123,1701,2078.2,199,546,1918,106081.78
0.25,8179,1377,239,1177,5330,4677,11919,9763,4939,3634,3821,7360,4559,2227,10259,9067,5379,8936,1137,299,1374,1730,2267,205,634,1916,112403.36
0.29,9289,1379.3,239,1610,6884,4706,12234,10771,6003,3634,4351,7322,4984,2788,12255,10696,6045,10437,3305,305,1674,1950,2626.2,209,939,1929,128565.25
0.33,8304,1137.8,239,2020,8377,4953,11911,12384,6978,3634,5049,7335,6484,2856,14173,12004,6368,11254,3247,322,1772,2460,2989.3,219,1081,1938,139489.22
0.38,7030,988.7,219,2231,9151,5099,11322,12532,7739,3634,5730,7387,8048,2986,14361,12134,6521,11301,3240,387,1762,2797,3058.1,232,1020,1965,142875.93
0.42,5284,989.6,198,2511,9397,5191,10712,12465,8076,3634,6173,7520,8292,2864,14832,12365,6512,11336,3503,431,1796,2629,3226.4,229,970,2079,143214.42
0.46,3803,981.3,190,2820,9534,5286,10325,12390,8093,3634,6168,7913,8737,2883,15311,12599,6529,11517,4023,380,1739,2648,3414.1,224,992,2506,144639.49
0.5,3083,981,183,2677,9253,5293,10205,12420,7507,3634,6164,7797,8880,2479,15249,12487,6463,11612,4354,391,1635,2382,3325,215,953,2603,142225.68
0.54,2861,982.2,182,2246,7341,5241,9682,11652,6784,3634,5704,7415,8786,2283,14025,11502,6163,10401,3378,350,1489,1972,2976.7,205,811,2628,130695.08
0.58,2795,989.2,193,1938,6009,5028,9310,11112,6496,3634,5284,7249,7693,2170,12887,10725,5753,9684,911,305,1393,1765,2751.6,205,756,2638,119673.87
0.63,2788,993.2,200,1770,5571,4976,9305,10777,6794,3634,4977,7199,7044,2189,12238,10313,5598,9108,4331,274,1496,1710,2543.9,204,793,2549,119375.35
0.67,2848,1002.6,212,1823,5691,4811,9344,10536,7452,421,5080,7218,6666,2487,12533,10465,5815,9632,4362,265,1598,1682,2483.8,206,932,2245,117812.65
0.71,3093,1011.6,215,2125,6658,4756,9467,11531,8890,2610,5263,7303,6930,3026,13228,10987,6170,10570,4315,250,2050,1808,2876.6,212,1126,2038,128508.57
0.75,4537,1020.8,221,2657,8607,4939,9856,12456,9710,2507,5710,7870,7518,3574,15173,12239,6784,12327,4018,268,2406,2125,3263.9,222,1384,1937,143330.53
0.79,8187,1018.5,228,3220,10528,5388,10646,13971,9061,2512,7079,8566,8899,3629,18191,13996,7543,13724,3755,302,2402,2693,3662.3,226,1251,1890,162567.08
