,OUARGLA,Figuier,Foues,Boumerdes,BIR SLAM,BEJAIA,MEDEA 1,MEDEA 2,BOUIRA 1,BOUIRA 2,BLIDA 1,BLIDA 2,BLIDA 3,BLIDA 4,"B,Ezzouar",Beaulieu,Baraki,Benzerga,Ain Taya,Nador,Tipaza,Cherchell,Hadjout,Sidi Ammar Tipaza,Taref,Naama,Total
0.79,3321,967.8,699,668,8223,3357,8740,11286,7222,3432,5591,4586,3598,903,11564,8636,3952,8311,3655,111,779,957,1648,82,869,641,103800.62
0.83,2899,973.8,905,973,9969,4002,9702,12593,7489,2946,6182,5504,4183,913,13386,9861,4324,9099,3195,124,883,1049,2088.3,86,1043,651,115022.48
0.88,2912,973.1,1091,1055,8065,4149,10195,12751,7788,2362,6353,5433,5183,783,12997,9381,3940,7986,2829,147,834,1200,1891.2,75,931,656,111960.47
0.92,3304,969.4,865,992,5515,4084,9327,11457,7235,1816,5597,4524,5113,703,11236,7750,3541,6841,2346,162,735,1386,1460.1,69,776,657,98459.20
0.96,3738,972.9,556,938,3504,3841,8535,10244,6532,1466,4987,3637,4453,633,9994,6793,3288,6260,2021,122,529,1298,1170.7,65,637,677,86891.68
0,3290,963.1,265,900,2489,3353,7930,9305,5859,1204,4474,2910,3765,603,8776,5993,3084,5838,1803,72,482,1006,1033.2,61,382,748,76588.11
0.04,2102,958.9,41,803,1663,3247,7524,8585,5361,1074,4246,2505,3338,593,8080,5615,2933,5463,1803,67,380,774,985.3,60,436,987,69624.22
0.08,1416,960.8,0,767,1664,2860,7357,8443,5177,1126,4311,2436,3134,573,7814,5563,2885,5302,1749,58,381,663,964.9,60,421,967,67052.66
0.13,1561,954.8,5,748,1295,2796,7319,8389,5216,1186,4169,2016,2985,583,7758,5563,2887,5303,1743,77,382,681,965.1,60,416,928,65988.07
0.17,2111,953.7,0,761,1477,2794,7135,8593,5177,1242,4236,1911,2991,593,7856,5556,2885,5299,1845,92,383,743,979.1,62,421,1091,67189.68
0.21,2328,944.2,0,764,2395,2849,7127,8685,5169,1502,4407,2044,2933,623,8056,5873,3040,5558,2168,113,383,842,1055.7,62,426,1156,70502.61
0.25,2320,940.5,68,753,3128,2789,7252,8834,5297,2182,4585,2348,3085,683,8773,6504,3291,5977,2590,152,434,974,1185.3,65,437,1070,75716.36
0.29,2944,923.8,193,762,5134,2933,7528,9422,5636,2550,5031,3148,3282,763,9897,7723,3645,6398,2090,149,536,1126,1485.8,73,477,797,84648.24
0.33,3544,915.6,444,819,7147,3019,8142,10740,6348,2275,5530,3821,3730,763,10657,8397,3790,7233,1855,87,636,1032,1697.2,83,783,691,94178.65
0.38,2301,915.4,602,706,8313,2999,8049,10388,6819,2054,5561,3936,4612,783,10328,8450,3765,8163,1626,56,727,667,1688.9,86,773,610,94980.55
0.42,1440,917.9,620,443,9274,3524,7964,10143,6647,2054,5631,4134,6500,813,10456,8766,3697,9226,1666,46,926,498,1795.2,87,726,629,98623.13
0.46,992,909.8,920,368,9716,3584,6849,10649,6494,1859,5715,4455,6590,793,10799,9134,3782,10398,1564,41,1027,430,1841.1,87,721,643,100361.74
0.5,835,909.5,1114,372,8621,3589,5073,12052,6443,1257,5750,4452,6804,663,10947,9306,3722,11261,879,46,1138,391,1596.8,78,749,628,98677.33
0.54,740,904.9,1030,308,4894,3342,4633,10679,6184,904,5200,3481,6033,583,9944,8250,3270,10193,408,51,1143,392,1178.8,69,642,796,85255.42
0.58,711,910.6,660,272,3794,2746,4218,9821,5461,806,4761,2902,5299,503,9643,5416,3016,8087,149,66,1034,400,961.3,67,484,1081,73271.70
0.63,724,923.6,510,210,3065,2253,4143,9358,4915,856,4538,2568,4879,483,9090,4747,2918,7207,298,61,778,434,852.5,64,409,864,67148.02
0.67,868,937.1,462,0,2888,2247,5868,7205,4479,861,4653,2452,4762,563,9290,5220,2921,6946,665,72,777,507,909.1,66,419,605,66641.58
0.71,1268,935.8,561,0,3890,2253,5894,7272,4489,1117,4623,2540,4747,593,9641,5858,3070,7259,1417,87,669,472,1059.5,68,427,510,70721.49
0.75,2151,945.6,698,57,6921,2361,5912,7282,4678,1696,4802,2725,5007,663,10203,6655,3225,7376,2568,128,722,707,1108.9,70,541,466,79668.04
0.79,3225,950.5,865,249,9323,2508,6382,8001,5102,2124,5051,3230,5315,753,11239,7893,3701,7965,2866,121,731,938,1302.4,76,723,456,91088.37
0.83,2802,950,971,547,10897,3047,7487,9388,5655,1770,5486,4133,6365,713,12514,8929,3924,9219,2395,117,987,1042,1602.2,76,806,466,103287.69
0.88,2833,951.8,1091,622,8809,3242,7816,9510,6126,1381,5446,3665,6342,583,11290,7536,3437,8407,1909,128,991,1196,1325.4,64,692,472,95863.56
0.92,3163,953.5,812,548,6254,3219,7161,8394,5661,1085,4732,2756,5109,523,9817,6114,3036,7216,1529,66,838,1325,1016,62,554,457,82402.93
0.96,3541,955.9,505,508,4427,2963,6497,7486,5109,938,4286,2104,4420,493,8826,5157,2782,6379,1202,56,686,1354,834.3,61,466,506,72543.37
0,3117,957.6,291,483,2776,2752,6079,6820,4636,840,4071,1484,3991,473,7921,4625,2523,5746,1037,45,535,990,749,57,310,585,63894.06
0.04,1958,960.1,150,468,2033,2531,5711,6423,4240,896,3965,1196,3886,463,7601,4411,2313,5428,982,40,434,707,728,57,351,861,58793.81
0.08,1420,954.1,47,464,2217,2477,5595,6270,4000,954,4032,1085,3773,443,7282,4198,2362,5266,927,50,434,644,738.8,56,335,764,56787.28
0.13,1488,954.4,26,449,2304,2419,5541,6220,3922,957,4157,1053,3771,443,7226,4142,2308,5214,980,55,434,658,730.1,58,330,813,56652.87
0.17,1992,955.9,5,407,2212,2468,5533,6271,3919,732,4172,763,3718,433,7271,4301,2408,5206,1196,60,434,739,747.7,58,337,937,57277.46
0.21,2227,944.3,62,408,2669,2408,5570,6435,3931,874,4349,896,3696,453,7524,4508,2612,5574,1519,70,487,821,817.3,60,352,980,60246.26
0.25,2211,928.9,146,402,3589,2406,5822,6742,4300,1428,4647,1103,3794,553,7982,5360,2762,5997,1833,75,486,977,903.9,63,378,779,65668.97
0.29,2853,919,259,428,5233,2447,6116,7357,4677,1779,4936,1917,4297,633,8903,6578,3066,6417,1548,90,537,1059,1210.2,69,434,568,74331.62
0.33,3624,903.2,477,524,7058,2588,6702,8039,5374,1626,5326,2666,5250,633,9865,7183,3265,7303,1317,121,637,1044,1498.9,79,702,463,84268.74
0.38,2290,905,597,399,8228,2730,6503,7575,5889,1623,5413,2962,5313,663,9894,7041,3244,8029,1252,116,779,667,1438.4,85,665,475,84777.14
0.42,1465,903,705,153,9733,2716,6238,7338,5761,1518,5532,3252,5657,693,10335,7339,3330,8489,1349,140,875,537,1571,87,568,595,86877.80
0.46,1087,904.4,993,24,10362,2824,5947,7188,5663,1364,5553,3714,6003,703,10782,7637,3315,8995,1246,157,878,425,1665.6,82,586,561,88658.98
0.5,875,903.8,1173,0,9005,2828,5824,6990,5655,907,5704,3830,6212,563,11554,8100,3305,9424,565,157,979,415,1513.6,80,598,605,87764.23
0.54,833,901.8,1159,0,5923,2682,5174,5915,5414,857,5259,2851,5481,483,10510,6371,3002,8554,151,112,826,376,1103.4,68,475,808,75289.73
0.58,822,906.3,895,0,4362,2310,4469,5183,4552,810,4913,2430,4846,443,9491,5370,2697,7585,49,68,617,399,818,66,312,949,65364.28
0.63,826,911.6,583,0,3905,1930,3861,5031,3740,862,4691,2047,4367,443,8923,4738,2597,6839,98,68,566,437,721.9,67,266,594,59113.05
0.67,910,923.6,456,0,4182,1816,4038,4411,3378,864,4523,1773,4153,453,8860,4734,2598,6731,506,63,567,483,717,63,266,434,57903.70
0.71,1235,927.7,441,0,5656,1874,4136,4569,3442,915,4633,1851,4085,493,9163,5268,2550,7152,1257,93,568,482,880.2,67,337,384,62459.68
0.75,2105,939.2,679,0,8226,1877,4199,4631,3815,1180,4767,2059,4352,573,9679,6067,3058,7579,2242,109,622,718,1103.9,72,416,350,71417.81
0.79,3127,944.1,865,0,10897,2033,4603,5357,4480,1536,4901,2540,4777,673,10560,7360,3385,8427,2373,130,733,915,1337.3,74,602,350,82980.17
0.83,2685,948.3,1146,122,12470,2141,5648,6638,4996,1116,5233,3255,5682,603,11417,8249,3558,9680,1847,147,992,1000,1500.3,72,670,350,92164.19
0.88,2739,944.9,1222,144,10749,2317,5931,6788,5415,869,4965,2571,5501,473,10339,6953,2914,8663,1473,117,1049,1171,1143.3,63,583,361,85459.32
0.92,3094,951.7,953,130,7915,2287,5406,5651,4890,724,4296,1730,4354,443,8805,5475,2561,7157,1149,71,894,1394,815.9,60,449,365,72023.75
0.96,3445,954.8,681,131,5906,2244,4903,4936,4318,783,3909,837,3770,443,7756,4625,2045,6163,987,45,691,1387,666.6,56,382,415,62480.88
0,2966,960.2,426,137,4354,2141,4582,4429,3782,734,3631,201,3393,443,7066,4091,2042,5368,823,30,484,993,616.5,55,224,544,54515.92
0.04,1861,954,274,148,3522,2144,4428,4119,3346,791,3526,0,3352,433,6694,3878,2044,5050,601,30,435,765,575.5,54,273,695,49990.44
0.08,1272,959.9,181,153,3160,2091,4383,4076,3156,794,3427,0,3257,433,6533,3770,1939,4943,546,35,435,741,560.2,53,274,672,47844.80
0.13,1402,956.2,115,158,3623,2092,4279,4024,3083,850,3543,0,3319,433,6530,3768,1937,4835,655,55,435,677,577.3,55,274,749,48423.62
0.17,1914,947.5,109,164,3905,2089,4338,4025,3091,852,3659,0,3313,443,6525,3765,2092,4883,873,55,436,741,583.3,55,290,869,50016.09
0.21,2144,936.5,120,164,4187,2082,4332,4230,3114,851,4054,0,3274,443,6780,4353,2192,5249,1251,60,434,849,649.1,56,306,868,52980.06
0.25,2124,929.9,198,163,4743,2022,4534,4534,3241,986,4349,292,3181,513,7242,5100,2500,5940,1512,75,487,999,769.8,61,318,605,57419.95
0.29,2740,904.4,276,173,7213,2114,4735,5153,3674,1260,4614,1194,3736,583,8062,6107,2802,6837,1172,86,593,1176,1023.1,67,375,474,67144.77
0.33,3476,891.8,526,289,9398,2155,5279,5742,4712,1103,4985,2154,4642,603,8969,6709,3000,7205,996,106,795,979,1255.7,73,644,448,77134.54
0.38,2183,892,654,129,9705,2187,5195,5476,5272,1048,5016,2616,4867,613,9146,6666,2979,7138,879,146,681,646,1284.1,74,568,516,76577.49
0.42,1415,889.4,825,5,10406,2281,4983,5484,5142,1039,5209,2996,5111,673,9592,6750,3062,7277,974,166,774,497,1350.6,82,532,555,78070.77
0.46,1025,882.9,1015,0,10759,2548,4846,5545,5078,886,5300,3508,5512,663,10149,7106,3150,7625,875,222,769,391,1475.3,74,499,510,80412.68
0.5,869,830.8,1132,0,9024,2608,4716,5439,5101,591,5380,3472,5787,523,10298,7048,3141,7819,407,215,821,400,1337.5,74,529,598,78160.53
0.54,829,861,1073,0,5285,2464,4181,4307,4894,591,4978,2608,4986,443,9450,5683,2786,6827,50,167,670,386,1034.6,69,421,833,65877.71
0.58,829,864,794,0,3720,2035,3686,3528,3919,543,4537,1845,4302,433,8592,2318,2534,6206,0,97,565,399,859.2,62,249,737,53652.10
0.63,828,879.6,430,0,3171,1816,3572,3159,3234,593,4152,1310,3766,433,8130,0,2338,5835,0,63,466,427,726,57,180,439,46003.35
0.67,912,888.3,319,0,2893,1811,3465,3006,2870,544,4040,1179,3711,443,8123,2370,2491,6047,0,62,465,491,714.8,61,214,355,47476.57
0.71,1277,893,257,0,4444,1869,3563,3222,2898,646,4201,1353,3808,443,8423,4054,2594,6527,882,62,515,463,760.3,67,280,320,53822.36
0.75,2055,903.6,486,0,6771,1877,3579,3279,3112,651,4330,1524,3917,513,8784,4213,2802,7009,1921,78,571,586,868.7,70,362,296,60559.90
0.79,2995,922.7,638,0,9180,1978,3944,3902,3661,966,4516,1974,4243,623,9514,4796,3228,7600,1994,99,681,816,1096.4,71,515,295,70248.85
0.83,2588,930,861,0,11769,2034,4648,4986,4352,723,4722,2659,4931,563,10672,5329,3345,8083,1135,110,891,1159,1365.1,72,594,296,78818.50
0.88,2696,933.4,1206,0,10056,2056,4906,5025,4666,679,4512,2050,4788,443,9650,6571,2907,6735,703,101,843,1395,1060.2,64,450,301,74796.10
0.92,3106,931.3,913,0,7030,2019,4234,3597,3864,630,3699,980,3697,433,8161,7595,2450,5520,215,61,744,1748,702,56,306,316,63007.91
0.96,3440,936.3,499,0,5466,1921,3935,2770,3102,687,3318,90,3163,433,7433,6136,2194,4773,106,45,536,1840,568,51,276,346,54064.70
0,2960,941.2,316,0,3723,1929,3778,2415,2658,690,2997,0,2790,433,6796,4603,1988,4400,53,35,436,1403,487.7,52,219,445,46548.25
0.04,1866,933.4,164,0,3165,1878,3683,2106,2258,746,2669,0,2583,433,6263,3698,1936,4239,53,36,385,1031,457.3,52,203,566,41403.71
0.08,1405,934.2,78,0,3072,1878,3636,2055,2095,749,2625,0,2480,433,6048,3273,1885,4187,53,36,384,848,445.9,51,203,731,39583.95
0.13,1411,929.6,52,10,3349,1875,3640,2060,2042,639,2803,0,2475,433,5942,698,1884,4130,0,51,439,764,462.2,51,203,877,37220.26
0.17,1950,923.9,36,61,3718,1873,3667,2060,2032,523,2941,0,2417,433,5990,2528,1981,4236,52,51,387,742,502,51,214,1022,40390.52
0.21,2155,908.9,0,82,3998,1869,3702,2318,2174,573,3339,0,2451,443,6191,3228,2080,4606,264,56,385,777,523,51,236,927,43337.32
0.25,2112,891.5,36,97,4731,1864,3759,2573,2464,619,3791,0,2533,453,6752,3230,2334,4976,743,66,491,856,648.8,58,257,699,47034.10
0.29,2649,875.1,146,185,6283,1904,3906,3244,2837,766,4291,584,3207,563,7520,3334,2587,5829,739,82,491,991,886.5,64,310,534,54807.91
0.33,3309,853.5,316,446,8281,1999,4319,4006,3817,608,4624,1454,4041,553,8499,3757,2837,6462,677,111,745,1033,1115.3,74,543,496,64975.41
0.38,2127,859.5,335,241,9229,1977,4298,3885,4427,601,4900,1927,4344,563,8740,4329,2823,6601,618,104,681,648,1278.3,80,524,536,66676.96
0.42,1352,862.4,576,35,9472,2020,4286,4089,4337,544,5084,2317,4640,623,9136,3201,2808,6846,160,128,672,498,1407.8,83,469,512,66159.45
0.46,975,864.3,866,0,9002,2337,4123,4345,4363,540,5156,2911,5043,593,9694,2131,3299,7357,875,161,818,411,1564.6,82,457,496,68463.56
0.5,844,863.6,1027,0,7720,2728,4152,4348,4493,442,5191,3036,5365,463,10205,6056,3295,7548,407,151,769,357,1369.8,77,503,648,72058.66
0.54,794,867.8,961,0,5442,2522,3668,3159,4358,441,4848,2092,4556,443,9094,6137,2895,6348,50,121,667,381,999.6,64,386,864,62157.34
0.58,783,874.4,649,0,4616,1930,3217,2494,3275,491,4340,1442,3921,433,8228,6440,2641,5662,1487,72,514,381,840.2,63,241,613,55647.36
0.63,807,874.6,336,0,4070,1871,584,2079,2535,492,4058,980,3498,433,7660,6746,2440,5235,1168,67,412,395,709.8,60,187,378,48075.45
0.67,891,886.4,214,0,4248,1817,2534,1929,2255,544,3952,735,3440,433,7654,6948,2544,5445,1166,67,361,450,712.4,60,192,308,49786.62
0.71,1167,885.9,325,0,5707,1874,3065,2084,2352,548,4234,1020,3537,443,7905,5582,2646,6088,1435,72,514,487,830.5,66,267,273,53410.34
0.75,1584,895.8,510,0,7494,1877,3018,2191,2594,552,4477,1461,3854,483,8474,4479,2904,6570,1710,102,518,599,941,69,328,258,57942.96
0.79,2210,896.6,685,20,8990,1978,3186,2711,3133,609,4713,2062,4286,603,9616,3901,3225,7275,2313,113,629,792,1171.5,73,506,263,65958.29
0.83,2701,907.5,936,263,10756,2036,3495,3747,3919,568,4879,2656,4979,533,10948,3954,3494,7713,3039,141,785,1104,1410.1,73,568,273,75877.46
0.88,3010,910.9,1000,262,9039,2059,4070,3536,4303,522,4667,1994,4783,433,9711,4540,2850,6361,2848,138,791,1261,1063.9,64,456,279,70951.40
0.92,3636,916.7,695,213,7016,1966,4139,2149,3231,578,4065,916,3638,443,8118,5339,2397,5036,2366,77,638,1477,723.8,61,316,305,60455.01
0.96,4416,910.3,293,198,5545,1977,3647,1490,2485,582,3625,264,3158,433,7115,6891,2142,4233,1989,46,483,1533,569.2,56,270,355,54706.30
0,4194,907.5,114,189,4165,1872,3406,1079,2046,584,3409,0,2781,433,6207,7760,1833,3804,1942,30,382,1135,499.9,55,236,487,49549.81
0.04,2963,906.7,0,108,3334,1931,3308,927,1715,640,3301,0,2677,433,5834,6247,1778,3644,1663,30,332,900,494.7,53,198,536,43953.33
0.08,1783,911.6,0,77,3239,1878,3206,875,1578,642,3143,0,2517,423,5667,4829,1827,3590,1608,45,282,758,495,54,188,653,40268.87
0.13,1456,907.3,5,77,3133,1875,3211,824,1538,643,3146,0,2408,433,5668,4195,1775,3643,1607,51,332,734,497.4,52,204,796,39209.43
0.17,1800,907.1,0,97,3121,1875,3286,826,1556,698,3204,0,2460,433,5666,3714,1931,3749,1607,51,278,748,514.4,53,215,900,39691.22
0.21,2050,891.1,0,149,3118,1923,3346,981,1557,535,3425,0,2336,443,5871,3447,2082,4015,1771,60,328,887,578.6,56,226,711,40787.50
0.25,1948,883.6,20,149,3664,1862,3385,1289,1778,521,3765,0,2480,443,6384,3335,2335,4443,1988,71,377,912,659.4,58,221,531,43500.66
0.29,2493,864.4,135,180,4481,1901,3370,2009,2198,461,4218,444,3207,553,7209,645,2640,5188,2368,96,375,1102,885.7,64,299,455,47843.08
0.33,3225,856.8,313,379,7016,1997,3609,2664,3331,456,4533,1412,3986,593,8246,2634,2836,5877,2409,111,578,1109,1119.8,75,541,464,60372.33
0.38,2126,854.8,397,283,8979,2085,3944,2958,4055,400,4623,2201,4280,633,8653,3443,2982,6228,2284,115,576,718,1270.8,81,508,528,65205.82
0.42,1344,859,527,193,10309,2338,3980,3523,3982,394,0,0,4737,683,9427,3815,2873,6581,2212,10,574,183,0,51,438,514,59546.51
0.46,996,858.4,776,127,10933,2775,4065,3878,4136,391,5066,3381,5243,673,10131,3431,3411,7143,2136,145,672,410,1632.5,81,452,613,73555.78
0.5,863,854.4,981,122,9566,2781,3960,3930,4443,393,5101,3516,5559,543,10487,1123,3450,7278,2236,145,669,386,1536.8,76,479,855,71332.93
0.54,811,858.4,966,102,5304,2577,2418,2898,4293,395,4775,2597,4875,443,9680,5453,2997,6132,1921,94,566,371,1073.1,65,387,931,62982.14
0.58,799,872.2,618,39,3121,2254,49,2022,3218,396,4380,1977,4193,443,8917,6236,2590,5339,1545,59,460,395,894.3,64,227,494,51602.72
0.63,819,892.7,385,0,3026,1981,739,1665,2480,446,4104,1543,3768,433,8401,6480,2492,4861,1112,63,408,413,762.8,64,168,359,47867.05
0.67,909,904.4,278,0,3222,1869,197,1568,2158,496,3986,1484,3655,453,8393,6945,2545,5020,1000,54,359,480,764.4,61,198,274,47272.40
0.71,1177,909.7,273,0,4051,1819,0,1923,2161,499,4204,1681,3748,453,8590,7338,2497,5664,1324,74,412,466,871.3,66,240,239,50679.67
0.75,1728,924.9,420,0,4823,1933,0,2137,2545,503,4431,1892,4016,563,9046,7541,3005,6152,1815,98,416,720,1031.4,71,366,240,56418.32
0.79,2374,932.4,649,0,6030,1985,2211,2761,3120,560,4557,2470,4441,633,9774,6433,3324,6861,2591,99,573,846,1218.5,74,494,240,65250.20
0.83,2521,938.6,851,69,7703,2039,246,3895,3690,465,4777,2975,5136,583,10776,5327,3492,7246,3263,141,627,971,1419.7,74,565,250,70039.64
0.88,2596,952.3,1038,125,6365,2111,0,3741,3989,522,4680,2410,5045,453,9795,4696,2951,5886,2907,112,629,1108,1134.6,62,478,255,64040.44
0.92,3079,954.3,697,126,4806,2019,98,2098,2957,525,4031,1291,3906,433,8204,4799,2550,4879,2539,66,479,1313,775.8,59,344,306,53334.68
0.96,3565,942.2,306,132,3509,1975,49,1282,2169,527,3592,300,3373,443,7260,5172,2244,4288,2213,41,327,1232,604.9,55,287,467,46354.02
0,3274,962.3,107,122,2589,1931,0,930,1774,582,3322,0,3000,433,6465,5861,2090,3912,1881,30,279,1011,541.6,54,197,588,41937.07
0.04,2205,959.4,0,0,2033,1943,590,619,1473,584,3373,52,2876,433,5934,6883,1573,3698,1663,35,290,687,500.5,51,210,557,39221.84
0.08,1485,961.4,16,0,2026,1947,737,414,1338,585,3560,16,2882,433,5616,7805,1620,3536,1606,40,245,652,485,51,194,694,38946.11
0.13,1415,951.5,0,0,1828,1944,886,468,1269,640,3305,0,2784,433,5505,6620,1877,3481,1551,45,253,615,485.3,51,200,845,37451.24
0.17,1921,962.2,0,0,2004,1948,0,519,1260,695,3255,0,2675,433,5499,4927,1979,3583,1549,45,257,682,506.2,51,216,876,35843.59
0.21,2051,970.8,0,0,2732,1939,688,623,1270,643,3312,0,2615,433,5705,4131,1929,3895,1600,60,259,770,583.2,54,232,626,37121.38
0.25,1930,958.2,15,0,3189,1932,197,879,1381,697,3420,0,2608,443,5963,3708,2283,4590,1765,60,250,887,663.9,60,238,482,38598.31
0.29,2545,949,77,0,4094,1915,49,1342,1554,743,3747,10,2802,473,6218,3334,2589,5336,1927,86,284,1063,814.8,64,275,427,42717.98
0.33,3487,929.3,196,0,5630,1951,0,2207,1938,680,4344,678,3515,593,7134,1345,2882,5922,2237,112,531,983,1109.9,72,444,471,49390.74
0.38,2295,923.6,443,0,6956,1981,3291,3319,2645,670,4713,1948,4327,673,8359,1776,3171,6010,2210,106,474,594,1509.8,76,592,532,59594.06
0.42,1426,942.5,767,0,8468,2227,3397,4285,3260,608,5049,3176,5291,773,9736,3120,3559,6422,2236,123,623,448,1878.6,85,572,556,69028.94
0.46,978,932.2,999,0,8995,2648,2605,5056,3822,600,5444,4206,6411,773,11311,3115,4045,6986,2538,156,670,419,2117.6,89,584,671,76171.70
0.5,858,929.8,1249,0,7818,2758,623,4911,4255,602,5644,4271,6751,603,12509,3488,4091,7237,3137,151,720,338,2053.6,87,655,936,76674.23
0.54,826,940.2,1258,0,4928,2570,3160,3380,4438,552,5088,2979,5528,443,11494,3969,3408,5231,2615,111,515,366,1385.8,74,512,814,66585.22
0.58,821,949.6,823,0,3210,1930,3266,2041,3272,605,4322,1281,4061,443,9402,4392,2804,4271,1486,72,411,376,863.2,69,279,486,51936.46
0.63,825,974.8,331,0,2307,1827,3390,1529,2152,612,3924,592,3628,433,8136,2826,2489,3896,734,57,361,423,673.7,63,180,387,42750.30
0.67,870,983.6,64,0,2402,1882,3722,1470,1692,615,3820,219,3468,443,7936,2177,2504,3998,901,57,364,472,674.2,64,185,347,41331.13
0.71,1107,966.3,28,0,2683,1888,4345,1581,1758,722,4033,313,3521,433,8044,5873,2665,4587,1508,86,365,448,829.3,66,240,318,48408.02
0.75,1940,970,280,0,4891,1895,3172,1689,2131,674,4148,404,3534,443,8302,6799,2822,5235,1783,92,471,682,865.8,67,262,324,53877.22
0.79,2668,966.9,432,0,7018,1991,1348,2199,2751,730,4231,863,3836,513,8709,7718,3079,6310,2276,107,526,858,973.1,68,387,328,60887.79
0.83,2205,960.6,569,0,8332,1989,3896,2867,3448,633,4382,1509,4206,533,9267,8295,3238,6844,2550,135,685,941,1126.7,70,530,323,69534.04
0.88,2367,968.7,767,0,5984,1949,3695,2921,3509,637,4332,1282,4399,443,8833,7013,2845,5433,2462,111,635,1122,902.4,62,454,363,63490.47
0.92,2878,972.5,570,0,4068,1961,3423,1683,2417,639,3744,271,3472,433,7719,4803,2441,4050,1978,61,430,1276,648.3,57,290,416,50701.10
0.96,3430,912.7,206,0,2596,1915,2990,1025,1741,694,3258,10,2939,433,6821,3528,2185,3410,1707,45,329,1297,496.1,53,238,649,42908.48
0,2914,820.8,21,0,1573,1925,326,617,1443,642,2933,0,2570,423,5968,3591,2028,2814,1546,30,280,920,436.5,51,131,631,34636.05
0.04,1711,784.6,0,0,1384,1930,3256,359,1188,697,2670,0,2305,433,5704,4292,1875,2652,1098,25,231,715,410.9,51,176,722,34668.58
0.08,1156,790.3,0,0,1567,1934,3197,360,1042,698,2622,0,2143,433,5493,4667,1822,2653,988,40,236,610,410.7,51,170,866,33950.71
0.13,1275,753.4,0,0,1663,1938,3251,309,992,753,2683,0,2085,433,5335,5411,1773,2597,988,45,239,642,394.6,51,170,948,34730.97
0.17,1813,777.1,0,0,1571,1933,3308,309,972,755,2854,0,1967,433,5284,6098,1871,2650,932,50,238,723,418.2,52,180,764,35954.12
0.21,2013,832.6,0,0,2304,1929,3365,410,978,756,3187,0,2057,433,5539,5538,1973,2809,981,60,234,843,477.5,52,200,505,37476.47
0.25,2052,844.6,0,0,3040,1934,3588,615,1120,807,3530,0,2146,433,5677,3896,2173,3184,1033,65,279,927,516.2,57,205,434,38556.90
0.29,2648,844.2,0,0,5511,1982,3792,1179,1356,802,3855,15,2717,443,5864,3260,2371,3881,1137,80,381,1070,672.1,60,220,367,44509.28
0.33,3180,840.7,101,0,7410,1906,4145,1941,1865,794,4339,642,3447,473,6629,482,2620,4687,1399,100,534,995,849.1,66,369,504,50316.47
0.38,1942,839.7,344,0,7914,1938,4535,2441,2557,729,4754,1562,4211,563,7637,2192,2652,4891,1332,105,531,603,1076.5,76,467,501,56393.40
0.42,1154,839.3,598,0,8891,1918,1958,3151,3170,716,4778,2259,4715,613,8332,2406,2677,5519,1255,110,630,453,1375.2,78,419,545,58561.04
0.46,915,857.8,729,0,9172,1906,2958,3607,3530,606,4907,2968,5174,643,9362,2355,2973,6241,1458,133,676,376,1641.3,83,448,683,64403.62
0.5,810,867.4,838,0,8089,1971,4990,3814,3806,659,4995,3207,5594,523,10052,2411,3076,6767,1893,158,732,346,1523.7,77,497,890,68585.97
0.54,752,879.1,866,0,4612,1933,4197,2896,3797,608,4735,2420,5183,443,9259,2359,2679,5716,1583,113,628,366,1105,70,419,604,58224.01
0.58,747,887.4,607,0,3325,1940,3498,1925,2745,610,4308,1678,4465,443,8245,2783,2331,4812,1213,64,581,351,866.6,65,250,374,49114.54
0.63,767,889.5,259,0,2689,1949,3088,1468,1991,662,3916,1105,3984,443,7795,3310,2128,4383,1116,49,534,432,743.1,69,187,293,44251.01
0.67,807,891.9,130,0,3597,1951,156,1464,1774,670,3754,828,3776,443,7630,3726,2180,4591,1111,55,534,475,791.4,64,198,253,41850.17
0.71,1036,892.3,120,0,5239,1954,3176,1570,1901,726,3886,870,3776,443,7892,4830,2337,4962,1443,75,634,456,844.4,69,229,259,49619.57
0.75,1829,891.9,297,0,6639,2003,3300,1779,2185,726,4177,1320,3986,523,8255,5535,2549,5440,1879,115,793,638,905.8,68,350,259,56442.67
0.79,2664,893.5,493,0,8034,1942,3394,2343,2934,677,4445,2002,4397,633,9187,5769,2962,6031,2538,137,1057,862,1115.4,76,425,259,65270.64
0.83,2192,898.6,758,69,9165,1995,3632,3163,3763,740,4705,2681,5125,573,10282,4450,3272,6674,3096,137,1105,963,1297.9,74,482,264,71556.72
0.88,2418,918.5,968,150,6625,1959,4032,2906,4015,694,4606,2084,5036,443,9348,1939,2631,5373,2686,107,946,1138,981,64,368,309,62743.51
0.92,2947,907.2,645,141,4245,2023,4197,1538,2865,699,3968,996,3894,443,7920,6710,2126,3992,2145,66,844,1322,654.5,58,225,399,55968.76
0.96,3537,865.6,165,76,2774,1924,3836,773,1963,702,3528,256,3141,433,6981,5672,1609,3295,1763,51,637,1360,505.2,51,172,634,46704.27
0,3024,749.2,0,0,2038,1921,3571,311,1473,811,3170,0,2716,433,6502,4305,1346,2918,1433,30,536,960,431.7,51,153,568,39453.07
0.04,1734,695.7,0,0,1392,1867,3350,261,1093,758,3023,0,2505,433,6023,3735,1548,2649,1154,35,429,750,417.2,51,121,687,34711.70
0.08,1203,698.1,0,0,1202,1929,3349,262,899,867,2916,0,2338,433,5865,3731,1603,2595,931,45,432,639,416.1,52,117,889,33412.33
